iteration,rtt_ms,status
701,0.596,ok
702,0.536,ok
703,0.671,ok
704,0.571,ok
705,0.501,ok
706,0.437,ok
707,0.395,ok
708,0.422,ok
709,0.378,ok
710,0.295,ok
711,0.427,ok
712,0.461,ok
713,0.557,ok
714,0.395,ok
715,0.627,ok
716,0.731,ok
717,0.610,ok
718,0.541,ok
719,0.496,ok
720,0.584,ok
721,0.640,ok
722,0.645,ok
723,0.759,ok
724,0.670,ok
725,0.744,ok
726,0.586,ok
727,0.568,ok
728,0.530,ok
729,0.457,ok
730,0.639,ok
731,0.673,ok
732,0.666,ok
733,0.729,ok
734,0.665,ok
735,0.684,ok
736,0.514,ok
737,0.532,ok
738,0.367,ok
739,0.335,ok
740,0.322,ok
741,0.438,ok
742,0.450,ok
743,0.355,ok
744,0.398,ok
745,0.459,ok
746,0.503,ok
747,0.406,ok
748,0.448,ok
749,124.510,ok
750,0.785,ok
751,0.710,ok
752,0.530,ok
753,0.423,ok
754,0.453,ok
755,0.565,ok
756,0.581,ok
757,0.520,ok
758,0.493,ok
759,0.535,ok
760,0.636,ok
761,0.613,ok
762,0.721,ok
763,0.671,ok
764,1.065,ok
765,0.525,ok
766,0.680,ok
767,0.680,ok
768,0.663,ok
769,0.557,ok
770,0.675,ok
771,0.938,ok
772,1.052,ok
773,0.774,ok
774,0.659,ok
775,0.640,ok
776,0.615,ok
777,0.565,ok
778,0.507,ok
779,0.491,ok
780,0.584,ok
781,0.721,ok
782,0.744,ok
783,0.620,ok
784,0.560,ok
785,0.667,ok
786,0.603,ok
787,0.653,ok
788,0.609,ok
789,0.560,ok
790,0.515,ok
791,0.614,ok
792,0.712,ok
793,0.649,ok
794,0.501,ok
795,1.036,ok
796,0.933,ok
797,0.593,ok
798,0.514,ok
799,0.485,ok
800,0.436,ok
801,0.611,ok
802,0.524,ok
803,0.619,ok
804,0.576,ok
805,0.579,ok
806,0.586,ok
807,0.521,ok
808,0.550,ok
809,0.476,ok
810,0.622,ok
811,0.526,ok
812,0.524,ok
813,0.557,ok
814,0.662,ok
815,0.658,ok
816,0.572,ok
817,0.561,ok
818,0.881,ok
819,0.734,ok
820,0.774,ok
821,0.463,ok
822,0.957,ok
823,1.187,ok
824,0.492,ok
825,0.843,ok
826,0.586,ok
827,1.362,ok
828,0.629,ok
829,0.612,ok
830,0.663,ok
831,0.967,ok
832,0.637,ok
833,0.525,ok
834,0.677,ok
835,0.658,ok
836,0.570,ok
837,0.601,ok
838,0.502,ok
839,0.483,ok
840,0.462,ok
841,0.565,ok
842,0.527,ok
843,0.483,ok
844,114.030,ok
845,0.932,ok
846,0.663,ok
847,0.583,ok
848,0.624,ok
849,0.813,ok
850,0.817,ok
851,0.712,ok
852,0.965,ok
853,0.912,ok
854,0.934,ok
855,0.598,ok
856,0.735,ok
857,0.809,ok
858,0.697,ok
859,0.655,ok
860,0.655,ok
861,0.727,ok
862,0.670,ok
863,0.518,ok
864,0.497,ok
865,0.671,ok
866,0.882,ok
867,0.749,ok
868,0.663,ok
869,0.633,ok
870,0.575,ok
871,0.772,ok
872,0.739,ok
873,0.581,ok
874,0.867,ok
875,0.759,ok
876,0.657,ok
877,0.693,ok
878,0.523,ok
879,0.653,ok
880,0.501,ok
881,0.459,ok
882,0.612,ok
883,0.596,ok
884,0.583,ok
885,0.670,ok
886,0.630,ok
887,0.860,ok
888,0.843,ok
889,0.662,ok
890,0.667,ok
891,0.642,ok
892,0.648,ok
893,0.712,ok
894,0.850,ok
895,0.603,ok
896,0.624,ok
897,0.526,ok
898,0.521,ok
899,0.540,ok
900,0.493,ok
901,0.688,ok
902,0.586,ok
903,0.441,ok
904,0.557,ok
905,0.414,ok
906,0.413,ok
907,0.421,ok
908,0.406,ok
909,0.396,ok
910,0.366,ok
911,0.311,ok
912,0.505,ok
913,0.281,ok
914,0.497,ok
915,0.460,ok
916,0.441,ok
917,0.433,ok
918,0.384,ok
919,0.387,ok
920,0.420,ok
921,0.923,ok
922,0.605,ok
923,0.570,ok
924,0.667,ok
925,0.493,ok
926,0.487,ok
927,0.654,ok
928,0.587,ok
929,0.690,ok
930,0.473,ok
931,0.600,ok
932,0.421,ok
933,0.428,ok
934,0.436,ok
935,0.473,ok
936,0.484,ok
937,0.429,ok
938,0.490,ok
939,106.055,ok
940,0.679,ok
941,0.513,ok
942,0.409,ok
943,0.425,ok
944,0.463,ok
945,0.393,ok
946,0.359,ok
947,0.459,ok
948,0.893,ok
949,0.613,ok
950,0.680,ok
951,0.626,ok
952,0.676,ok
953,0.465,ok
954,0.737,ok
955,0.643,ok
956,0.585,ok
957,0.660,ok
958,0.537,ok
959,0.798,ok
960,0.747,ok
961,0.998,ok
962,0.642,ok
963,0.784,ok
964,0.855,ok
965,0.522,ok
966,0.567,ok
967,0.477,ok
968,0.432,ok
969,0.449,ok
970,0.489,ok
971,0.490,ok
972,0.382,ok
973,0.433,ok
974,0.435,ok
975,0.428,ok
976,0.505,ok
977,0.458,ok
978,0.509,ok
979,0.420,ok
980,0.451,ok
981,0.424,ok
982,0.396,ok
983,0.343,ok
984,0.350,ok
985,0.368,ok
986,0.411,ok
987,0.492,ok
988,0.468,ok
989,0.503,ok
990,0.481,ok
991,0.488,ok
992,0.460,ok
993,0.415,ok
994,0.388,ok
995,0.381,ok
996,0.439,ok
997,0.481,ok
998,0.483,ok
999,0.486,ok
1000,0.441,ok
1001,0.416,ok
1002,0.394,ok
1003,0.420,ok
