iteration,rtt_ms,status,proc_ram_mb,proc_vsz_mb,proc_cpu_pct,sys_ram_pct,sys_cpu_pct
152,0.263,ok,14.699,1155.250,0.0,52.3,0.0
153,0.380,ok,14.699,1155.250,0.0,52.3,0.0
154,0.338,ok,14.699,1155.250,0.0,52.3,0.0
155,0.376,ok,14.699,1155.250,0.0,52.3,0.0
156,0.299,ok,14.699,1155.250,0.0,52.3,0.0
157,0.345,ok,14.699,1155.250,0.0,52.3,0.0
158,0.301,ok,14.699,1155.250,0.0,52.3,0.0
159,0.291,ok,14.699,1155.250,0.0,52.3,0.0
160,0.392,ok,14.699,1155.250,0.0,52.3,0.0
161,0.316,ok,14.699,1155.250,0.0,52.3,0.0
162,0.272,ok,14.699,1155.250,0.0,52.3,0.0
163,0.269,ok,14.699,1155.250,0.0,52.3,0.0
164,0.321,ok,14.699,1155.250,0.0,52.3,0.0
165,0.353,ok,14.699,1155.250,0.0,52.3,0.0
166,0.389,ok,14.699,1155.250,0.0,52.3,0.0
167,0.298,ok,14.699,1155.250,0.0,52.3,0.0
168,0.273,ok,14.699,1155.250,0.0,52.3,0.0
169,0.271,ok,14.699,1155.250,0.0,52.3,0.0
170,0.308,ok,14.699,1155.250,0.0,52.3,0.0
171,0.344,ok,14.699,1155.250,0.0,52.3,0.0
172,0.324,ok,14.699,1155.250,0.0,52.3,0.0
173,0.398,ok,14.699,1155.250,0.0,52.3,0.0
174,0.373,ok,14.699,1155.250,0.0,52.3,0.0
175,0.341,ok,14.699,1155.250,0.0,52.3,0.0
176,0.318,ok,14.699,1155.250,0.0,52.3,0.0
177,0.310,ok,14.699,1155.250,0.0,52.3,0.0
178,0.295,ok,14.699,1155.250,0.0,52.3,0.0
179,0.260,ok,14.699,1155.250,0.0,52.3,0.0
180,0.307,ok,14.699,1155.250,0.0,52.3,0.0
181,0.250,ok,14.699,1155.250,0.0,52.3,0.0
182,0.314,ok,14.699,1155.250,0.0,52.3,0.0
183,0.279,ok,14.699,1155.250,0.0,52.3,0.0
184,0.256,ok,14.699,1155.250,0.0,52.3,0.0
185,0.343,ok,14.699,1155.250,0.0,52.3,0.0
186,0.277,ok,14.699,1155.250,0.0,52.3,0.0
187,0.264,ok,14.699,1155.250,0.0,52.3,0.0
188,0.276,ok,14.699,1155.250,0.0,52.3,0.0
189,0.280,ok,14.699,1155.250,0.0,52.3,0.0
190,0.282,ok,14.699,1155.250,0.0,52.3,0.0
191,0.270,ok,14.699,1155.250,0.0,52.3,0.0
192,0.296,ok,14.699,1155.250,0.0,52.3,0.0
193,0.342,ok,14.699,1155.250,0.0,52.3,0.0
194,0.321,ok,14.699,1155.250,0.0,52.3,0.0
195,0.377,ok,14.699,1155.250,0.0,52.3,0.0
